App,Package,Start Time,Duration,Filename
"2048",com.tpcstld.twozerogame,"Feb 15, 2018 @ 06:06:22 PM","48 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
19787,133000,19788,21,19790,46,19791,1401600,19792,1401600,19803,39,19804,1555200,19805,1555200,
19888,133000,19888,21,19889,31,19890,1401600,19890,1401600,19897,19,19897,1555200,19897,1555200,
19988,133000,19988,21,19990,24,19990,1401600,19990,1401600,19996,23,19996,1555200,19996,1555200,
20088,133000,20089,21,20090,32,20090,1401600,20091,1401600,20096,22,20097,1555200,20097,1555200,
20191,133000,20192,21,20193,42,20193,1401600,20193,1401600,20199,30,20200,1555200,20200,1555200,
20292,133000,20293,21,20294,18,20294,1401600,20295,1401600,20300,14,20301,1555200,20301,1555200,
20392,133000,20393,21,20394,29,20394,1401600,20395,1401600,20403,23,20404,1555200,20405,1555200,
20493,133000,20493,21,20495,25,20501,1401600,20501,1401600,20506,23,20506,1555200,20506,1555200,
20593,133000,20594,21,20596,24,20596,1401600,20597,1401600,20604,16,20605,1555200,20605,1555200,
20694,133000,20695,21,20696,28,20696,1401600,20697,1401600,20704,21,20705,1555200,20705,1555200,
20795,133000,20796,20,20798,18,20799,1401600,20799,1401600,20808,15,20809,1555200,20809,1555200,
20895,133000,20896,20,20897,20,20897,1401600,20897,1401600,20904,14,20904,1555200,20905,1555200,
20995,133000,20996,20,20998,29,20998,1401600,20999,1401600,21006,22,21007,1555200,21007,1555200,
21096,133000,21097,20,21099,27,21099,1401600,21099,1401600,21105,22,21106,1555200,21106,1555200,
21197,133000,21197,20,21198,27,21199,1401600,21199,1401600,21210,21,21211,1555200,21212,1555200,
21297,133000,21298,20,21299,52,21300,1401600,21300,1401600,21307,42,21308,1555200,21309,1555200,
21398,133000,21398,20,21400,13,21400,1401600,21401,1401600,21409,12,21409,1555200,21410,1555200,
21498,133000,21499,20,21500,28,21501,1401600,21501,1401600,21509,22,21509,1555200,21510,1555200,
21599,133000,21599,20,21600,38,21601,1401600,21601,1401600,21607,30,21607,1555200,21607,1555200,
21701,133000,21702,20,21703,62,21703,1401600,21703,1401600,21718,48,21719,1555200,21720,1555200,
21800,133000,21801,17,21802,94,21803,1401600,21803,1401600,21825,75,21826,1555200,21826,1555200,
21902,133000,21902,17,21904,87,21904,1401600,21904,1401600,21910,70,21910,1555200,21910,1555200,
22003,133000,22004,17,22006,35,22006,1401600,22007,1401600,22014,27,22014,1555200,22014,1555200,
22103,133000,22104,17,22106,18,22106,1401600,22106,1401600,22113,14,22113,1555200,22114,1555200,
22204,133000,22204,17,22206,17,22206,1401600,22206,1401600,22228,13,22228,1555200,22229,1555200,
22304,133000,22305,17,22306,48,22306,1401600,22306,1401600,22319,38,22319,1555200,22320,1555200,
22405,133000,22405,17,22406,34,22407,1401600,22407,1401600,22413,26,22413,1555200,22413,1555200,
22505,133000,22506,17,22507,17,22508,1401600,22508,1401600,22515,14,22515,1555200,22515,1555200,
22606,133000,22606,17,22607,17,22608,1401600,22608,1401600,22614,14,22614,1555200,22614,1555200,
22706,133000,22707,17,22708,33,22708,1401600,22709,1401600,22715,26,22715,1555200,22716,1555200,
22807,133000,22807,16,22808,35,22808,1401600,22809,1401600,22818,26,22818,1555200,22818,1555200,
22907,133000,22908,16,22910,43,22910,1401600,22910,1401600,22919,38,22919,1555200,22920,1555200,
23008,133000,23009,16,23010,41,23010,1401600,23011,1401600,23017,33,23017,1555200,23018,1555200,
23108,133000,23109,16,23110,32,23110,1401600,23111,1401600,23118,24,23118,1555200,23119,1555200,
23209,133000,23210,16,23211,36,23212,1401600,23212,1401600,23219,27,23219,1555200,23219,1555200,
23309,133000,23310,16,23311,17,23312,1401600,23312,1401600,23320,15,23321,1555200,23321,1555200,
23410,133000,23411,16,23412,30,23413,1401600,23413,1401600,23421,18,23422,1555200,23422,1555200,
23510,133000,23511,16,23512,21,23512,1401600,23513,1401600,23517,15,23518,1555200,23518,1555200,
23611,133000,23611,16,23612,28,23613,1401600,23613,1401600,23617,21,23617,1555200,23617,1555200,
23711,133000,23712,16,23713,21,23713,1401600,23713,1401600,23717,18,23718,1555200,23720,1555200,
23811,133000,23812,21,23813,32,23813,1401600,23813,1401600,23818,24,23819,1555200,23819,1555200,
23912,133000,23912,21,23913,35,23914,1401600,23914,1401600,23920,29,23921,1555200,23921,1555200,
24012,133000,24013,21,24014,26,24014,1401600,24014,1401600,24019,20,24020,1555200,24020,1555200,
24113,133000,24113,21,24114,22,24114,1401600,24115,1401600,24123,18,24123,1555200,24124,1555200,
24217,133000,24217,21,24219,41,24219,1401600,24219,1401600,24225,32,24226,1555200,24226,1555200,
24318,133000,24318,21,24320,34,24320,1401600,24321,1401600,24327,29,24327,1555200,24328,1555200,
24418,133000,24419,21,24420,28,24420,1401600,24421,1401600,24426,23,24427,1555200,24427,1555200,
24519,133000,24519,21,24520,45,24521,1401600,24522,1401600,24531,35,24531,1555200,24532,1555200,
24619,133000,24620,21,24621,54,24621,1401600,24622,1401600,24628,45,24628,1555200,24629,1555200,
24720,133000,24720,21,24721,38,24722,1401600,24722,1401600,24726,24,24727,1555200,24727,1555200,
24820,133000,24820,21,24822,64,24822,1401600,24822,1401600,24836,51,24836,1555200,24837,1555200,
