App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 22, 2018 @ 04:57:04 PM","1 min 20 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
31540,0,31541,3432408,31550,87,31449,3,31550,1,
31640,0,31641,3432856,31656,79,31550,3,31656,1,
31742,0,31743,3432840,31749,47,31656,3,31750,1,
31842,0,31843,3432948,31847,52,31749,3,31847,1,
31946,0,31949,3433136,31970,15,31847,3,31971,1,
32044,0,32045,3434020,32050,29,31970,3,32050,1,
32096,0,32097,3432020,32107,14,32050,3,32108,1,
32198,0,32202,3431940,32223,2,32108,3,32224,1,
32299,0,32302,3431940,32330,0,32224,3,32331,1,
32398,0,32400,3431060,32416,30,32331,3,32417,1,
32551,0,32553,3427140,32561,53,32417,3,32561,1,
32649,0,32650,3405968,32654,90,32561,3,32655,1,
32701,0,32702,3406296,32719,83,32655,3,32719,1,
32801,0,32802,3407676,32810,92,32719,3,32810,1,
32901,0,32902,3408808,32919,100,32810,3,32933,1,
33003,0,33004,3404844,33011,95,32919,3,33012,1,
33104,0,33105,3408012,33114,94,33011,3,33120,1,
33204,0,33205,3410232,33209,90,33114,3,33209,1,
33305,0,33306,3414428,33311,91,33209,3,33311,1,
33405,0,33406,3415900,33415,54,33311,3,33415,1,
33507,0,33509,3417172,33517,44,33415,3,33517,1,
33609,0,33610,3418304,33619,36,33517,3,33619,1,
33711,0,33712,3418676,33725,14,33619,3,33725,1,
33814,0,33816,3419172,33834,15,33725,3,33834,1,
33915,0,33918,3419680,33938,18,33834,3,33938,1,
34015,0,34017,3419780,34036,21,33938,3,34039,1,
34115,0,34117,3420396,34129,32,34039,3,34130,1,
34217,0,34219,3420892,34236,15,34129,3,34237,1,
34317,0,34318,3420908,34328,11,34236,3,34328,1,
34418,0,34419,3421404,34427,10,34328,3,34427,1,
34521,0,34524,3422024,34544,8,34427,3,34545,1,
34621,0,34624,3422520,34637,7,34545,3,34638,1,
34723,0,34726,3423108,34744,7,34638,3,34745,1,
34824,0,34828,3423852,34855,9,34745,3,34856,1,
34925,0,34928,3418768,34942,18,34856,3,34943,1,
35026,0,35028,3419344,35046,8,34943,3,35047,1,
35128,0,35130,3419872,35137,11,35046,3,35137,1,
35231,0,35234,3420492,35239,8,35137,3,35239,1,
35333,0,35336,3421204,35355,4,35239,3,35355,1,
35434,0,35437,3421576,35455,8,35355,3,35455,1,
35535,0,35536,3422072,35544,9,35455,3,35544,1,
35635,0,35638,3423064,35656,8,35544,3,35657,1,
