App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 22, 2018 @ 04:55:21 PM","1 min 2 sec",""

Time  [ms],"GPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"Wi-Fi State",Time  [ms],"Screen State",
22349,0,22352,3337760,22379,14,22284,3,22380,1,
22451,0,22453,3337760,22472,6,22380,3,22473,1,
22552,0,22554,3337636,22573,7,22473,3,22574,1,
22652,0,22655,3337636,22673,5,22574,3,22674,1,
22754,0,22756,3337636,22775,5,22674,3,22776,1,
22854,0,22857,3337760,22875,11,22775,3,22876,1,
22956,0,22959,3338008,22980,6,22876,3,22980,1,
23057,0,23061,3338224,23088,7,22980,3,23090,1,
23158,0,23161,3338348,23179,7,23090,3,23180,1,
23260,0,23263,3338364,23281,5,23180,3,23282,1,
23362,0,23365,3355268,23382,29,23282,3,23382,1,
23463,0,23465,3335956,23482,14,23382,3,23483,1,
23565,0,23567,3335460,23587,4,23483,3,23588,1,
23666,0,23670,3335616,23703,2,23587,3,23704,1,
23767,0,23771,3335616,23801,7,23704,3,23802,1,
23868,0,23874,3335616,23900,9,23801,3,23900,1,
23969,0,23973,3335740,24006,6,23900,3,24007,1,
24072,0,24075,3335864,24095,10,24006,3,24096,1,
24171,0,24172,3335832,24179,23,24096,3,24179,1,
24273,0,24276,3335956,24295,4,24179,3,24296,1,
24375,0,24377,3336080,24398,7,24296,3,24399,1,
24475,0,24480,3336080,24501,7,24399,3,24502,1,
24578,0,24582,3336080,24609,5,24502,3,24610,1,
24627,0,24629,3336452,24640,12,24610,3,24641,1,
24728,0,24730,3336452,24751,6,24641,3,24753,1,
24830,0,24833,3334560,24856,13,24752,3,24857,1,
24931,0,24933,3334932,24950,5,24856,3,24951,1,
25032,0,25035,3335180,25063,4,24951,3,25063,1,
25132,0,25136,3335552,25162,6,25063,3,25162,1,
25233,0,25236,3335772,25256,9,25162,3,25257,1,
25334,0,25336,3336020,25353,5,25257,3,25354,1,
25435,0,25437,3336220,25461,7,25354,3,25462,1,
25535,0,25539,3336188,25562,8,25462,3,25563,1,
25637,0,25641,3336188,25666,6,25563,3,25667,1,
25736,0,25739,3331848,25763,7,25666,3,25764,1,
25842,0,25845,3331848,25861,9,25764,3,25861,1,
25941,0,25945,3332096,25965,5,25861,3,25966,1,
26042,0,26045,3332716,26065,13,25966,3,26066,1,
26143,0,26147,3332560,26173,8,26066,3,26174,1,
26244,0,26247,3332560,26271,10,26174,3,26272,1,
26346,0,26349,3332684,26362,17,26271,3,26362,1,
26447,0,26448,3332188,26454,17,26362,3,26454,1,
26551,0,26554,3332312,26574,4,26454,3,26574,1,
26651,0,26654,3332312,26673,5,26574,3,26673,1,
26753,0,26756,3332404,26775,6,26673,3,26776,1,
26854,0,26857,3332748,26877,8,26776,3,26877,1,
26956,0,26959,3332872,26978,7,26877,3,26979,1,
27060,0,27064,3333120,27087,5,26979,3,27088,1,
27161,0,27163,3333368,27181,10,27088,3,27181,1,
27261,0,27264,3333616,27281,9,27181,3,27281,1,
27364,0,27368,3333708,27393,17,27281,3,27394,1,
27465,0,27469,3333708,27496,8,27394,3,27496,1,
27566,0,27569,3334328,27590,8,27496,3,27590,1,
27668,0,27671,3334824,27692,6,27590,3,27692,1,
27769,0,27772,3334700,27793,5,27692,3,27794,1,
27871,0,27874,3334668,27901,5,27793,3,27901,1,
27973,0,27976,3334792,28006,7,27901,3,28006,1,
28072,0,28076,3334916,28104,7,28006,3,28104,1,
28173,0,28177,3335040,28200,7,28104,3,28200,1,
28275,0,28278,3335288,28314,5,28200,3,28315,1,
28376,0,28378,3335832,28398,13,28315,3,28399,1,
28477,0,28481,3336080,28500,4,28399,3,28501,1,
28578,0,28583,3336048,28609,6,28501,3,28610,1,
28680,0,28683,3336544,28701,5,28610,3,28701,1,
28781,0,28784,3336544,28801,6,28701,3,28802,1,
28885,7,28889,3336296,28909,9,28801,3,28909,1,
28985,7,28988,3334064,29001,19,28909,3,29001,1,
29087,7,29092,3334032,29119,6,29001,3,29121,1,
29189,0,29193,3334032,29215,7,29120,3,29216,1,
29290,0,29293,3334032,29311,5,29215,3,29312,1,
29391,0,29394,3334404,29418,7,29311,3,29419,1,
29493,0,29496,3334652,29527,4,29419,3,29528,1,
29594,0,29597,3335024,29617,7,29528,3,29618,1,
29696,0,29699,3334992,29722,5,29618,3,29722,1,
29797,0,29804,3334992,29827,5,29722,3,29827,1,
29901,0,29905,3335116,29929,9,29827,3,29929,1,
30001,0,30003,3335212,30020,7,29929,3,30021,1,
30102,0,30104,3335212,30120,4,30021,3,30121,1,
30203,0,30205,3335336,30223,7,30121,3,30224,1,
30306,0,30310,3335336,30337,3,30223,3,30339,1,
30405,0,30408,3335320,30427,9,30338,3,30428,1,
30506,0,30509,3335320,30527,4,30428,3,30528,1,
30606,0,30610,3335568,30624,10,30528,3,30624,1,
30707,0,30708,3335816,30717,32,30624,3,30718,1,
30811,0,30814,3335816,30836,8,30717,3,30837,1,
30913,0,30915,3335816,30934,7,30837,3,30934,1,
31014,0,31017,3335816,31035,6,30934,3,31036,1,
31116,0,31118,3335940,31137,5,31036,3,31137,1,
31216,0,31219,3335940,31237,5,31137,3,31238,1,
31268,0,31271,3335940,31294,9,31238,3,31294,1,
31367,0,31369,3336188,31386,12,31294,3,31387,1,
31468,0,31469,3336280,31472,33,31387,3,31473,1,
31569,0,31570,3336528,31577,21,31473,3,31577,1,
31671,0,31673,3335988,31683,23,31577,3,31683,1,
31774,0,31778,3336360,31800,9,31683,3,31801,1,
31874,0,31877,3336236,31885,12,31801,3,31885,1,
31974,0,31975,3336796,31983,29,31885,3,31983,1,
32076,0,32077,3337044,32085,25,31983,3,32085,1,
32179,0,32181,3337044,32189,27,32085,3,32189,1,
32279,0,32281,3336904,32288,38,32189,3,32288,1,
32381,0,32385,3337152,32404,19,32288,3,32405,1,
32483,0,32486,3337028,32501,13,32405,3,32502,1,
32584,0,32586,3337028,32604,5,32502,3,32605,1,
32685,0,32689,3337152,32713,6,32605,3,32714,1,
32787,0,32790,3337400,32815,5,32714,3,32816,1,
32889,0,32892,3337648,32914,7,32816,3,32915,1,
32990,0,32993,3337648,33021,3,32915,3,33021,1,
33091,0,33093,3335912,33116,14,33021,3,33117,1,
33192,0,33195,3335992,33214,9,33117,3,33215,1,
33293,0,33296,3336240,33314,5,33215,3,33315,1,
33395,0,33397,3336348,33415,6,33315,3,33416,1,
33496,0,33500,3336348,33523,5,33416,3,33524,1,
33597,0,33600,3336752,33621,14,33524,3,33621,1,
33698,0,33700,3338084,33720,30,33621,3,33720,1,
33800,0,33802,3339696,33821,30,33720,3,33821,1,
33903,0,33906,3340316,33914,31,33821,3,33914,1,
34002,0,34003,3337712,34007,38,33914,3,34007,1,
34103,0,34104,3341076,34110,30,34007,3,34110,1,
34205,0,34206,3344876,34210,30,34110,3,34210,1,
34306,0,34307,3345248,34314,14,34210,3,34314,1,
34406,0,34407,3351700,34423,75,34314,3,34423,1,
34507,0,34508,3339884,34515,88,34423,3,34516,1,
34607,0,34608,3353436,34615,53,34516,3,34616,1,
34708,0,34708,3355856,34713,70,34616,3,34713,1,
34808,0,34809,3359176,34812,60,34713,3,34812,1,
34909,0,34910,3361424,34922,78,34812,3,34922,1,
35009,0,35010,3364216,35013,83,34922,3,35013,1,
35111,0,35112,3368108,35119,89,35013,3,35119,1,
35211,0,35212,3369504,35223,79,35119,3,35223,1,
35314,0,35314,3371752,35332,93,35223,3,35333,1,
35415,0,35416,3375908,35427,86,35333,3,35427,1,
35522,0,35523,3380048,35529,86,35427,3,35534,1,
35623,0,35623,3387212,35631,96,35529,3,35633,1,
35723,0,35724,3392080,35732,92,35632,3,35732,1,
35824,0,35825,3396296,35833,86,35732,3,35833,1,
35924,0,35925,3410168,35930,91,35833,3,35930,1,
36025,0,36026,3412416,36030,90,35930,3,36031,1,
36125,0,36126,3414664,36130,94,36031,3,36131,1,
36229,0,36230,3417332,36241,79,36131,3,36241,1,
36330,0,36331,3418268,36337,86,36241,3,36337,1,
36431,0,36432,3425184,36444,89,36337,3,36445,1,
36532,0,36533,3425736,36542,85,36445,3,36542,1,
36632,0,36633,3427284,36646,85,36542,3,36647,1,
36732,0,36733,3428132,36741,92,36647,3,36741,1,
36833,0,36834,3430984,36846,89,36741,3,36847,1,
36933,0,36934,3444376,36942,85,36846,3,36943,1,
37034,0,37035,3444896,37044,66,36942,3,37045,1,
37136,0,37138,3445128,37179,56,37044,3,37180,1,
37236,0,37237,3447368,37263,90,37179,3,37263,1,
37337,0,37337,3450684,37343,69,37263,3,37344,1,
37437,0,37439,3453164,37449,62,37344,3,37450,1,
37538,0,37538,3455644,37543,64,37450,3,37543,1,
37640,0,37645,3456000,37651,72,37543,3,37652,1,
37739,0,37740,3457784,37746,78,37652,3,37747,1,
37845,0,37847,3460744,37876,62,37746,3,37877,1,
37944,0,37945,3460204,37951,80,37877,3,37952,1,
38045,0,38048,3457600,38075,56,37952,3,38076,1,
38145,0,38146,3458436,38155,67,38076,3,38155,1,
38196,0,38198,3459648,38219,73,38155,3,38219,1,
38297,0,38298,3457732,38307,91,38219,3,38307,1,
38397,0,38399,3458728,38407,94,38307,3,38408,1,
38500,0,38501,3458876,38504,88,38408,3,38505,1,
38601,0,38602,3458560,38610,80,38505,3,38611,1,
38701,0,38702,3457492,38710,91,38611,3,38710,1,
38802,0,38803,3457872,38812,74,38710,3,38812,1,
38903,0,38904,3457500,38910,44,38812,3,38910,1,
39005,0,39007,3457468,39031,9,38910,3,39032,1,
39105,0,39106,3458084,39111,22,39032,3,39111,1,
39208,0,39211,3458068,39231,6,39111,3,39232,1,
39309,0,39312,3458160,39333,1,39232,3,39334,1,
39411,0,39414,3458176,39426,2,39334,3,39426,1,
39509,0,39511,3458500,39516,29,39426,3,39516,1,
39610,0,39611,3454768,39617,71,39516,3,39617,1,
39710,0,39711,3440628,39719,89,39617,3,39719,1,
39811,0,39812,3442436,39829,84,39719,3,39829,1,
39911,0,39912,3445308,39917,91,39829,3,39917,1,
40012,0,40012,3443576,40017,100,39917,3,40017,1,
40112,0,40113,3445824,40118,100,40017,3,40118,1,
40213,0,40214,3447764,40225,84,40118,3,40225,1,
40314,0,40315,3449208,40319,92,40225,3,40319,1,
40415,0,40416,3452896,40425,85,40319,3,40425,1,
40516,0,40519,3453720,40531,64,40425,3,40531,1,
40616,0,40617,3455212,40626,64,40531,3,40627,1,
40716,0,40717,3457244,40723,33,40627,3,40724,1,
40817,13,40818,3453888,40826,46,40724,3,40826,1,
40919,13,40921,3454168,40944,18,40826,3,40944,1,
41021,13,41023,3454664,41039,23,40944,3,41039,1,
41121,0,41123,3454384,41139,24,41039,3,41139,1,
41222,0,41223,3451444,41231,29,41139,3,41232,1,
41324,0,41327,3451692,41354,8,41232,3,41355,1,
41423,0,41424,3452436,41430,8,41354,3,41431,1,
41526,0,41528,3452568,41546,10,41431,3,41547,1,
41629,0,41630,3453436,41635,12,41547,3,41635,1,
41730,0,41731,3453220,41735,24,41635,3,41736,1,
41833,0,41835,3454028,41845,22,41736,3,41845,1,
41932,0,41934,3455020,41942,36,41845,3,41942,1,
42035,0,42039,3455624,42045,8,41942,3,42046,1,
42139,0,42142,3455996,42161,7,42045,3,42161,1,
42241,0,42243,3453236,42262,7,42161,3,42262,1,
42340,0,42349,3454040,42363,8,42262,3,42363,1,
42441,0,42444,3454608,42461,4,42363,3,42461,1,
42542,0,42546,3454980,42570,7,42461,3,42571,1,
42645,0,42649,3455880,42679,10,42570,3,42680,1,
42743,0,42746,3446580,42760,18,42680,3,42761,1,
42846,0,42854,3446920,42881,5,42761,3,42882,1,
42946,0,42949,3447912,42968,16,42882,3,42969,1,
43048,0,43052,3448476,43072,5,42969,3,43073,1,
43149,0,43152,3449036,43170,5,43073,3,43171,1,
43250,0,43253,3449440,43273,9,43170,3,43273,1,
43352,0,43355,3450372,43375,7,43273,3,43375,1,
43453,0,43456,3450916,43479,6,43375,3,43479,1,
43554,0,43558,3451384,43589,8,43479,3,43590,1,
43656,0,43659,3451756,43681,6,43589,3,43681,1,
43757,0,43761,3452252,43782,8,43681,3,43782,1,
43859,0,43867,3452500,43899,8,43782,3,43900,1,
43960,0,43963,3453120,43989,14,43900,3,43990,1,
44062,0,44066,3453832,44091,7,43990,3,44092,1,
44161,0,44164,3454824,44182,12,44092,3,44183,1,
44262,0,44265,3455320,44281,16,44183,3,44281,1,
44363,0,44366,3446268,44383,15,44281,3,44384,1,
44465,0,44467,3446764,44486,10,44384,3,44487,1,
44566,0,44571,3447384,44589,7,44487,3,44590,1,
44667,0,44673,3447972,44700,8,44590,3,44700,1,
44769,0,44772,3448592,44792,6,44700,3,44793,1,
44872,0,44875,3449336,44896,10,44793,3,44897,1,
44974,0,44976,3450156,44995,9,44897,3,44996,1,
45075,0,45078,3450500,45096,7,44995,3,45097,1,
45176,0,45179,3451120,45198,7,45096,3,45199,1,
45277,0,45282,3451848,45304,10,45199,3,45305,1,
45378,0,45383,3452592,45405,7,45305,3,45406,1,
45479,0,45483,3453336,45503,10,45406,3,45503,1,
45581,0,45584,3453476,45600,9,45503,3,45601,1,
45682,0,45686,3453848,45707,13,45601,3,45707,1,
45782,0,45786,3454592,45801,8,45707,3,45802,1,
45883,0,45886,3455568,45901,11,45802,3,45902,1,
45991,0,45993,3446020,45998,14,45902,3,45998,1,
46035,0,46037,3446020,46050,5,45998,3,46050,1,
46187,0,46190,3447244,46208,6,46050,3,46209,1,
46239,0,46242,3447368,46262,4,46209,3,46262,1,
46340,0,46343,3448112,46369,8,46262,3,46369,1,
46440,0,46442,3448732,46460,6,46369,3,46460,1,
46541,0,46544,3449220,46561,9,46460,3,46562,1,
46643,0,46646,3450088,46668,9,46562,3,46668,1,
46744,0,46746,3450588,46765,10,46668,3,46765,1,
46845,0,46847,3451036,46869,11,46765,3,46869,1,
46945,0,46946,3451780,46951,31,46869,3,46951,1,
47048,0,47050,3452152,47061,19,46951,3,47062,1,
47150,0,47152,3452896,47169,8,47062,3,47170,1,
47252,0,47254,3453640,47272,5,47170,3,47273,1,
47352,0,47354,3454104,47372,7,47273,3,47373,1,
47454,3,47458,3454724,47484,7,47372,3,47485,1,
47555,3,47557,3455220,47576,7,47485,3,47577,1,
47655,3,47656,3446276,47664,15,47576,3,47664,1,
47757,3,47760,3444788,47779,8,47664,3,47780,1,
47864,3,47867,3445532,47884,9,47780,3,47884,1,
47958,3,47961,3446028,47979,9,47884,3,47980,1,
48061,3,48064,3446648,48086,9,47980,3,48087,1,
